Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Boxing,2600,1980,Fighting,Activision,720000,40000,0,10000
Freeway,2600,1980,Action,Activision,320000,20000,0,0
Defender,2600,1980,Misc,Atari,990000,50000,0,10000
Checkers,2600,1980,Misc,Atari,220000,10000,0,0
Missile Command,2600,1980,Shooter,Atari,2560000,170000,0,30000
Kaboom!,2600,1980,Misc,Activision,1070000,70000,0,10000
Bridge,2600,1980,Misc,Activision,250000,20000,0,0
Asteroids,2600,1980,Shooter,Atari,4000000,260000,0,50000
Adventures of Tron,2600,1981,Action,Mattel Interactive,630000,30000,0,10000
Frogs And Flies,2600,1981,Action,Mattel Interactive,330000,20000,0,0
Jawbreaker,2600,1981,Action,Tigervision,420000,30000,0,0
Custer's Revenge,2600,1981,Action,Mystique,760000,50000,0,10000
Donkey Kong Junior,2600,1981,Platform,Atari,900000,50000,0,10000
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1840000,110000,0,20000
Armor Ambush,2600,1981,Action,Mattel Interactive,150000,10000,0,0
Mouse Trap,2600,1981,Action,Coleco,380000,20000,0,0
Alien,2600,1981,Action,20th Century Fox Video Games,740000,40000,0,10000
Spider-Man,2600,1981,Action,Parker Bros.,870000,50000,0,10000
Demon Attack,2600,1981,Shooter,Imagic,1990000,120000,0,20000
Centipede,2600,1981,Shooter,Atari,1260000,80000,0,10000
Raiders of the Lost Ark,2600,1981,Action,Atari,460000,30000,0,10000
Front Line,2600,1981,Action,Taito,220000,10000,0,0
Donkey Kong,2600,1981,Platform,Coleco,1360000,80000,0,20000
Carnival,2600,1981,Shooter,Coleco,320000,20000,0,0
Air Raid,2600,1981,Action,Men-A-Vision,720000,40000,0,10000
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,320000,20000,0,0
Megamania,2600,1981,Shooter,Activision,1030000,60000,0,10000
Reactor,2600,1981,Action,Parker Bros.,210000,10000,0,0
Pitfall!,2600,1981,Platform,Activision,4210000,240000,0,50000
Phoenix,2600,1981,Simulation,Atari,420000,20000,0,0
Grand Prix,2600,1981,Racing,Activision,450000,30000,0,0
Fireball,2600,1981,Action,Starpath Corp.,300000,20000,0,0
Crazy Climber,2600,1981,Action,Atari,210000,10000,0,0
RealSports Volleyball,2600,1981,Sports,Atari,120000,10000,0,0
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,550000,30000,0,10000
Laser Blast,2600,1981,Action,Activision,370000,20000,0,0
Astroblast,2600,1981,Action,Mattel Interactive,290000,20000,0,0
Dragonfire,2600,1981,Action,Imagic,350000,20000,0,0
Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,210000,10000,0,0
Berzerk,2600,1981,Shooter,Atari,680000,40000,0,10000
Dark Cavern,2600,1981,Shooter,Mattel Interactive,220000,10000,0,0
Fast Food,2600,1981,Action,Unknown,270000,20000,0,0
RealSports Football,2600,1981,Sports,Atari,240000,10000,0,0
Atlantis,2600,1981,Shooter,Imagic,1180000,80000,0,10000
Barnstorming,2600,1981,Action,Activision,400000,20000,0,0
River Raid,2600,1981,Shooter,Activision,1490000,90000,0,20000
Ms. Pac-Man,2600,1981,Puzzle,Atari,1540000,100000,0,20000
Airlock,2600,1981,Action,Data Age,360000,20000,0,0
Frogger,2600,1981,Action,Parker Bros.,2060000,120000,0,20000
King Kong,2600,1981,Action,Tigervision,650000,40000,0,10000
BurgerTime,2600,1981,Puzzle,Mattel Interactive,550000,30000,0,10000
RealSports Baseball,2600,1981,Sports,Atari,200000,10000,0,0
Cosmic Ark,2600,1981,Shooter,Imagic,990000,50000,0,10000
International Soccer,2600,1981,Sports,Mattel Interactive,180000,10000,0,0
Enduro,2600,1982,Misc,Quelle,810000,50000,0,10000
Gravitar,2600,1982,Action,Atari,350000,20000,0,0
Battlezone,2600,1982,Shooter,Atari,580000,30000,0,10000
Assault,2600,1982,Action,Bomb,210000,10000,0,0
Popeye,2600,1982,Platform,Parker Bros.,500000,30000,0,10000
Porky's,2600,1982,Action,20th Century Fox Video Games,230000,10000,0,0
Joust,2600,1982,Platform,Atari,1010000,60000,0,10000
Gauntlet,2600,1982,Action,Answer Software,460000,30000,0,10000
Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,370000,20000,0,0
Galaxian,2600,1982,Shooter,Atari,720000,50000,0,10000
Krull,2600,1982,Action,Atari,130000,10000,0,0
RealSports Tennis,2600,1982,Sports,Atari,460000,30000,0,10000
Jungle Hunt,2600,1982,Platform,Atari,1030000,60000,0,10000
Chopper Command,2600,1982,Shooter,Activision,470000,30000,0,10000
Frankenstein's Monster,2600,1982,Action,Data Age,300000,20000,0,0
Pressure Cooker,2600,1982,Action,Activision,140000,10000,0,0
